dates,Quarterly Total hourly rates of pay excluding bonuses Australia Private All industries ,Quarterly Total hourly rates of pay excluding bonuses Australia Public All industries ,Quarterly Total hourly rates of pay excluding bonuses Australia Private and Public All industries ,Total hourly rates of pay Private,Total hourly rates of pay Public ,Total hourly rates of payPrivate and Public,Quarterly Total hourly rates of pay excluding bonuses Australia Private All industries 2,Quarterly Total hourly rates of pay excluding bonuses Australia Public All industries 2,Quarterly Total hourly rates of pay excluding bonuses Australia Private and Public All industries 2,Percentage Change from Previous Quarter Total hourly rates of pay excluding bonuses Australia Private All industries,Percentage Change from Previous Quarter Total hourly rates of pay excluding bonuses Australia Public All industries ,Percentage Change from Previous Quarter Total hourly rates of pay excluding bonuses Australia Private and Public All industries ,Percentage Change From Previous Quarter Australia Total hourly rates of pay excluding bonuses Private All industries 1,Percentage Change From Previous Quarter Australia Total hourly rates of pay excluding bonuses Public All industries 1,Percentage Change From Previous Quarter Australia Total hourly rates of pay excluding bonuses Private and Public All industries 1,Percentage Change From Previous Quarter Australia Total hourly rates of pay excluding bonuses Private All industries 2,Percentage Change From Previous Quarter Australia Total hourly rates of pay excluding bonuses Public All industries 2,Percentage Change From Previous Quarter Australia Total hourly rates of pay excluding bonuses Private and Public All industries 2,Percentage Change from Corresponding Quarter of Previous Year Total hourly rates of pay excluding bonuses Australia Private All industries ,Percentage Change from Corresponding Quarter of Previous Year Total hourly rates of pay excluding bonuses Australia Public All industries ,Percentage Change from Corresponding Quarter of Previous Year Total hourly rates of pay excluding bonuses Australia Private and Public All industries ,Percentage Change From Corresponding Quarter of Previous Year Australia Total hourly rates of pay excluding bonuses Private All industries 1,Percentage Change From Corresponding Quarter of Previous Year Australia Total hourly rates of pay excluding bonuses Public All industries 1,Percentage Change From Corresponding Quarter of Previous Year Australia Total hourly rates of pay excluding bonuses Private and Public All industries 1,Percentage Change From Corresponding Quarter of Previous Year Australia Total hourly rates of pay excluding bonuses Private All industries 2,Percentage Change From Corresponding Quarter of Previous Year Australia Total hourly rates of pay excluding bonuses Public All industries 2,Percentage Change From Corresponding Quarter of Previous Year Australia Total hourly rates of pay excluding bonuses Private and Public All industries 2
1/09/1997,67.4,64.7,66.7,67.3,64.8,66.6,67.3,64.8,66.7,,,,,,,,,,,,,,,,,,
1/12/1997,67.9,65.2,67.3,67.9,65.3,67.2,67.9,65.3,67.2,0.7,0.8,0.9,0.9,0.8,0.9,0.9,0.8,0.7,,,,,,,,,
1/03/1998,68.5,65.9,67.8,68.5,65.8,67.8,68.5,65.8,67.8,0.9,1.1,0.7,0.9,0.8,0.9,0.9,0.8,0.9,,,,,,,,,
1/06/1998,68.8,66.2,68.2,69,66.3,68.3,69,66.4,68.3,0.4,0.5,0.6,0.7,0.8,0.7,0.7,0.9,0.7,,,,,,,,,
1/09/1998,69.6,67.2,68.9,69.4,67.1,68.8,69.4,67,68.8,1.2,1.5,1,0.6,1.2,0.7,0.6,0.9,0.7,3.3,3.9,3.3,3.1,3.5,3.3,3.1,3.4,3.1
1/12/1998,70,67.6,69.3,69.9,67.6,69.3,69.9,67.7,69.4,0.6,0.6,0.6,0.7,0.7,0.7,0.7,1,0.9,3.1,3.7,3,2.9,3.5,3.1,2.9,3.7,3.3
1/03/1999,70.4,68.6,70,70.4,68.5,69.9,70.4,68.4,69.9,0.6,1.5,1,0.7,1.3,0.9,0.7,1,0.7,2.8,4.1,3.2,2.8,4.1,3.1,2.8,4,3.1
1/06/1999,70.8,68.8,70.3,71,68.9,70.4,70.9,69,70.4,0.6,0.3,0.4,0.9,0.6,0.7,0.7,0.9,0.7,2.9,3.9,3.1,2.9,3.9,3.1,2.8,3.9,3.1
1/09/1999,71.5,69.4,71,71.4,69.4,70.9,71.4,69.4,70.9,1,0.9,1,0.6,0.7,0.7,0.7,0.6,0.7,2.7,3.3,3,2.9,3.4,3.1,2.9,3.6,3.1
1/12/1999,71.9,69.9,71.4,71.9,69.9,71.4,71.9,69.8,71.4,0.6,0.7,0.6,0.7,0.7,0.7,0.7,0.6,0.7,2.7,3.4,3,2.9,3.4,3,2.9,3.1,2.9
