Date,Quarterly Index ;  Total hourly rates of pay excluding bonuses ;  New South Wales ;  Private and Public ;  All industries ;,Quarterly Index ;  Total hourly rates of pay excluding bonuses ;  Victoria ;  Private and Public ;  All industries ;,Quarterly Index ;  Total hourly rates of pay excluding bonuses ;  Queensland ;  Private and Public ;  All industries ;,Quarterly Index ;  Total hourly rates of pay excluding bonuses ;  South Australia ;  Private and Public ;  All industries ;,Quarterly Index ;  Total hourly rates of pay excluding bonuses ;  Western Australia ;  Private and Public ;  All industries ;,Quarterly Index ;  Total hourly rates of pay excluding bonuses ;  Tasmania ;  Private and Public ;  All industries ;,Quarterly Index ;  Total hourly rates of pay excluding bonuses ;  Northern Territory ;  Private and Public ;  All industries ;,Quarterly Index ;  Total hourly rates of pay excluding bonuses ;  Australian Capital Territory ;  Private and Public ;  All industries ;,Quarterly Index ;  Total hourly rates of pay excluding bonuses ;  Australia ;  Private and Public ;  All industries ;,Percentage Change from Previous Quarter ;  Total hourly rates of pay excluding bonuses ;  New South Wales ;  Private and Public ;  All industries ;,Percentage Change from Previous Quarter ;  Total hourly rates of pay excluding bonuses ;  Victoria ;  Private and Public ;  All industries ;,Percentage Change from Previous Quarter ;  Total hourly rates of pay excluding bonuses ;  Queensland ;  Private and Public ;  All industries ;,Percentage Change from Previous Quarter ;  Total hourly rates of pay excluding bonuses ;  South Australia ;  Private and Public ;  All industries ;,Percentage Change from Previous Quarter ;  Total hourly rates of pay excluding bonuses ;  Western Australia ;  Private and Public ;  All industries ;,Percentage Change from Previous Quarter ;  Total hourly rates of pay excluding bonuses ;  Tasmania ;  Private and Public ;  All industries ;,Percentage Change from Previous Quarter ;  Total hourly rates of pay excluding bonuses ;  Northern Territory ;  Private and Public ;  All industries ;,Percentage Change from Previous Quarter ;  Total hourly rates of pay excluding bonuses ;  Australian Capital Territory ;  Private and Public ;  All industries ;,Percentage Change from Previous Quarter ;  Total hourly rates of pay excluding bonuses ;  Australia ;  Private and Public ;  All industries ;,Percentage Change from Corresponding Quarter of Previous Year ;  Total hourly rates of pay excluding bonuses ;  New South Wales ;  Private and Public ;  All industries ;,Percentage Change from Corresponding Quarter of Previous Year ;  Total hourly rates of pay excluding bonuses ;  Victoria ;  Private and Public ;  All industries ;,Percentage Change from Corresponding Quarter of Previous Year ;  Total hourly rates of pay excluding bonuses ;  Queensland ;  Private and Public ;  All industries ;,Percentage Change from Corresponding Quarter of Previous Year ;  Total hourly rates of pay excluding bonuses ;  South Australia ;  Private and Public ;  All industries ;,Percentage Change from Corresponding Quarter of Previous Year ;  Total hourly rates of pay excluding bonuses ;  Western Australia ;  Private and Public ;  All industries ;,Percentage Change from Corresponding Quarter of Previous Year ;  Total hourly rates of pay excluding bonuses ;  Tasmania ;  Private and Public ;  All industries ;,Percentage Change from Corresponding Quarter of Previous Year ;  Total hourly rates of pay excluding bonuses ;  Northern Territory ;  Private and Public ;  All industries ;,Percentage Change from Corresponding Quarter of Previous Year ;  Total hourly rates of pay excluding bonuses ;  Australian Capital Territory ;  Private and Public ;  All industries ;,Percentage Change from Corresponding Quarter of Previous Year ;  Total hourly rates of pay excluding bonuses ;  Australia ;  Private and Public ;  All industries ;
Sep-1997,66.8,67.5,66.6,66.9,64.3,67.9,68.0,66.8,66.7,,,,,,,,,,,,,,,,,,
Dec-1997,67.2,68.0,67.2,67.4,64.9,68.2,68.8,66.9,67.3,0.6,0.7,0.9,0.7,0.9,0.4,1.2,0.1,0.9,,,,,,,,,
Mar-1998,67.9,68.6,67.7,67.8,65.6,68.7,69.2,67.5,67.8,1.0,0.9,0.7,0.6,1.1,0.7,0.6,0.9,0.7,,,,,,,,,
Jun-1998,68.2,68.9,68.0,68.1,66.0,68.9,69.5,67.8,68.2,0.4,0.4,0.4,0.4,0.6,0.3,0.4,0.4,0.6,,,,,,,,,
Sep-1998,69.2,69.7,68.8,69.0,66.5,69.6,70.1,68.7,68.9,1.5,1.2,1.2,1.3,0.8,1.0,0.9,1.3,1.0,3.6,3.3,3.3,3.1,3.4,2.5,3.1,2.8,3.3
Dec-1998,69.5,70.1,69.2,69.4,66.9,69.9,70.7,69.0,69.3,0.4,0.6,0.6,0.6,0.6,0.4,0.9,0.4,0.6,3.4,3.1,3.0,3.0,3.1,2.5,2.8,3.1,3.0
Mar-1999,70.2,70.6,69.7,69.9,67.4,70.5,71.2,69.6,70.0,1.0,0.7,0.7,0.7,0.7,0.9,0.7,0.9,1.0,3.4,2.9,3.0,3.1,2.7,2.6,2.9,3.1,3.2
Jun-1999,70.6,71.0,70.0,70.0,67.8,71.0,71.4,69.7,70.3,0.6,0.6,0.4,0.1,0.6,0.7,0.3,0.1,0.4,3.5,3.0,2.9,2.8,2.7,3.0,2.7,2.8,3.1
Sep-1999,71.4,71.7,70.8,70.8,68.2,71.7,72.0,70.5,71.0,1.1,1.0,1.1,1.1,0.6,1.0,0.8,1.1,1.0,3.2,2.9,2.9,2.6,2.6,3.0,2.7,2.6,3.0
Dec-1999,71.7,72.2,71.3,71.4,68.6,72.0,72.6,70.8,71.4,0.4,0.7,0.7,0.8,0.6,0.4,0.8,0.4,0.6,3.2,3.0,3.0,2.9,2.5,3.0,2.7,2.6,3.0
Mar-2000,72.2,72.7,71.7,71.8,69.2,72.3,72.9,71.2,71.9,0.7,0.7,0.6,0.6,0.9,0.4,0.4,0.6,0.7,2.8,3.0,2.9,2.7,2.7,2.6,2.4,2.3,2.7
Jun-2000,72.7,73.2,71.9,72.3,69.5,72.6,73.1,71.4,72.3,0.7,0.7,0.3,0.7,0.4,0.4,0.3,0.3,0.6,3.0,3.1,2.7,3.3,2.5,2.3,2.4,2.4,2.8
Sep-2000,73.9,73.9,72.6,73.0,70.3,73.4,73.8,72.7,73.2,1.7,1.0,1.0,1.0,1.2,1.1,1.0,1.8,1.2,3.5,3.1,2.5,3.1,3.1,2.4,2.5,3.1,3.1
Dec-2000,74.3,74.6,73.5,73.6,70.8,74.0,74.7,73.3,73.8,0.5,0.9,1.2,0.8,0.7,0.8,1.2,0.8,0.8,3.6,3.3,3.1,3.1,3.2,2.8,2.9,3.5,3.4
Mar-2001,75.0,75.1,74.0,74.3,71.9,74.4,75.0,73.9,74.6,0.9,0.7,0.7,1.0,1.6,0.5,0.4,0.8,1.1,3.9,3.3,3.2,3.5,3.9,2.9,2.9,3.8,3.8
